item,item_number,parameter_type,parameter_threshold,parameter_T,source,estimate,estimate.stdyx,threshold,T,new.to.itembank
Q110,110,threshold,thres1,T1,1,-8.936,-2.038,1,1,no
Q110,110,threshold,thres2,T2,1,-5.943,-1.355,2,2,no
Q110,110,threshold,thres3,T3,1,-3.063,-0.698,3,3,no
Q110,110,threshold,thres4,T4,1,-0.791,-0.18,4,4,no
Q110,110,threshold,thres5,T5,1,1.368,0.312,5,5,no
Q110,110,threshold,thres6,T6,1,3.288,0.75,6,6,no
Q110,110,threshold,thres7,T7,1,5.543,1.264,7,7,no
Q110,110,threshold,thres8,T8,1,8.843,2.017,8,8,no
Q115,115,factor_loading,g,g,1,1.607,0.663,NA,NA,no
Q115,115,threshold,thres1,T1,1,-7.633,-3.149,1,1,no
Q115,115,threshold,thres2,T2,1,-7.103,-2.931,2,2,no
Q115,115,threshold,thres3,T3,1,-6.324,-2.61,3,3,no
Q115,115,threshold,thres4,T4,1,-5.829,-2.405,4,4,no
Q115,115,threshold,thres5,T5,1,-4.783,-1.973,5,5,no
Q115,115,threshold,thres6,T6,1,-3.715,-1.533,6,6,no
Q115,115,threshold,thres7,T7,1,-3.061,-1.263,7,7,no
Q115,115,threshold,thres8,T8,1,-1.725,-0.712,8,8,no
Q115,115,threshold,thres9,T9,1,1.075,0.444,9,9,no
Q117,117,factor_loading,g,g,1,1.916,0.726,NA,NA,no
Q117,117,threshold,thres1,T1,1,-6.069,-2.3,1,1,no
Q117,117,threshold,thres2,T2,1,-3.721,-1.41,2,2,no
Q117,117,threshold,thres3,T3,1,-1.873,-0.71,3,3,no
Q117,117,threshold,thres4,T4,1,-0.38,-0.144,4,4,no
Q117,117,threshold,thres5,T5,1,1.253,0.475,5,5,no
Q117,117,threshold,thres6,T6,1,2.49,0.944,6,6,no
Q117,117,threshold,thres7,T7,1,3.758,1.425,7,7,no
Q117,117,threshold,thres8,T8,1,5.225,1.98,8,8,no
Q222,222,factor_loading,g,g,2,2.241,0.632,NA,NA,no
Q222,222,threshold,thres1,T1,2,-2.385,-1.018,1,1,no
Q222,222,threshold,thres2,T2,2,-0.536,-0.229,2,2,no
Q222,222,threshold,thres3,T3,2,1.418,0.605,3,3,no
Q222,222,threshold,thres4,T4,2,3.097,1.323,4,4,no
Q222,222,threshold,thres5,T5,2,4.985,2.129,5,5,no
Q222,222,threshold,thres6,T6,2,7.217,3.082,6,6,no
Q222,222,threshold,thres7,T7,2,8.869,3.788,7,7,no
Q223,223,factor_loading,g,g,2,1.813,0.551,NA,NA,no
Q223,223,threshold,thres1,T1,2,-1.657,-0.762,1,1,no
Q223,223,threshold,thres2,T2,2,-0.543,-0.25,2,2,no
Q223,223,threshold,thres3,T3,2,0.693,0.319,3,3,no
Q223,223,threshold,thres4,T4,2,1.666,0.766,4,4,no
Q223,223,threshold,thres5,T5,2,2.859,1.315,5,5,no
Q223,223,threshold,thres6,T6,2,4.559,2.098,6,6,no
Q223,223,threshold,thres7,T7,2,6.845,3.149,7,7,no
Q227,227,factor_loading,g,g,2,0.995,0.341,NA,NA,no
Q227,227,threshold,thres1,T1,2,-2.423,-1.256,1,1,no
Q227,227,threshold,thres2,T2,2,-1.574,-0.816,2,2,no
Q227,227,threshold,thres3,T3,2,-0.535,-0.277,3,3,no
Q227,227,threshold,thres4,T4,2,0.831,0.431,4,4,no
Q227,227,threshold,thres5,T5,2,3.186,1.652,5,5,no
Q227,227,threshold,thres6,T6,2,5.268,2.73,6,6,no
Q241,241,factor_loading,g,g,2,3.567,0.793,NA,NA,no
Q241,241,threshold,thres1,T1,2,-2.356,-0.792,1,1,no
Q241,241,threshold,thres2,T2,2,0.415,0.14,2,2,no
Q241,241,threshold,thres3,T3,2,2.473,0.832,3,3,no
Q241,241,threshold,thres4,T4,2,4.87,1.637,4,4,no
Q241,241,threshold,thres5,T5,2,7.452,2.506,5,5,no
Q241,241,threshold,thres6,T6,2,9.654,3.246,6,6,no
Q282,282,factor_loading,g,g,2,2.282,0.639,NA,NA,no
Q282,282,threshold,thres1,T1,2,-1.5,-0.636,1,1,no
Q282,282,threshold,thres2,T2,2,-0.221,-0.094,2,2,no
Q282,282,threshold,thres3,T3,2,0.703,0.298,3,3,no
Q282,282,threshold,thres4,T4,2,1.709,0.725,4,4,no
Q282,282,threshold,thres5,T5,2,2.603,1.104,5,5,no
Q282,282,threshold,thres6,T6,2,3.381,1.434,6,6,no
Q282,282,threshold,thres7,T7,2,4.285,1.817,7,7,no
Q282,282,threshold,thres8,T8,2,5.213,2.21,8,8,no
Q282,282,threshold,thres9,T9,2,5.958,2.526,9,9,no
Q283,283,factor_loading,g,g,2,2.428,0.663,NA,NA,no
Q283,283,threshold,thres1,T1,2,-1.747,-0.722,1,1,no
Q283,283,threshold,thres2,T2,2,-0.483,-0.2,2,2,no
Q283,283,threshold,thres3,T3,2,0.63,0.26,3,3,no
Q283,283,threshold,thres4,T4,2,1.681,0.694,4,4,no
Q283,283,threshold,thres5,T5,2,2.629,1.086,5,5,no
Q283,283,threshold,thres6,T6,2,3.421,1.413,6,6,no
Q283,283,threshold,thres7,T7,2,4.193,1.732,7,7,no
Q283,283,threshold,thres8,T8,2,5.395,2.228,8,8,no
Q283,283,threshold,thres9,T9,2,6.49,2.68,9,9,no
Q352,352,factor_loading,g,g,3,3.15,0.838,NA,NA,no
Q352,352,threshold,thres1,T1,3,-0.176,-0.053,1,1,no
Q352,352,threshold,thres2,T2,3,0.261,0.079,2,2,no
Q352,352,threshold,thres3,T3,3,1.847,0.556,3,3,no
Q387,387,factor_loading,g,g,3,1.36,0.553,NA,NA,no
Q387,387,threshold,thres1,T1,3,-0.108,-0.049,1,1,no
Q387,387,threshold,thres2,T2,3,1.193,0.548,2,2,no
Q387,387,threshold,thres3,T3,3,2.212,1.017,3,3,no
Q387,387,threshold,thres4,T4,3,3.429,1.576,4,4,no
